cell_id,cell,cell_type,batch,cluster_id,batch_id,n_genes
cell_0,pDC_P10_S73,pDC,Batch1,0,0,6950
cell_1,pDC_P10_S74,pDC,Batch1,0,0,6604
cell_2,pDC_P10_S75,pDC,Batch1,0,0,6513
cell_3,pDC_P10_S76,pDC,Batch1,0,0,6445
cell_4,pDC_P10_S77,pDC,Batch1,0,0,6890
cell_5,pDC_P10_S78,pDC,Batch1,0,0,6201
cell_6,pDC_P10_S79,pDC,Batch1,0,0,6466
cell_7,pDC_P10_S80,pDC,Batch1,0,0,6459
cell_8,pDC_P10_S81,pDC,Batch1,0,0,6559
cell_9,pDC_P10_S82,pDC,Batch1,0,0,6323
cell_10,pDC_P10_S83,pDC,Batch1,0,0,6492
cell_11,pDC_P10_S84,pDC,Batch1,0,0,6178
cell_12,pDC_P10_S85,pDC,Batch1,0,0,5259
cell_13,pDC_P10_S86,pDC,Batch1,0,0,5587
cell_14,pDC_P10_S87,pDC,Batch1,0,0,6459
cell_15,pDC_P10_S88,pDC,Batch1,0,0,6736
cell_16,pDC_P10_S89,pDC,Batch1,0,0,4949
cell_17,pDC_P10_S90,pDC,Batch1,0,0,6002
cell_18,pDC_P10_S91,pDC,Batch1,0,0,6271
cell_19,pDC_P10_S92,pDC,Batch1,0,0,6646
cell_20,pDC_P10_S93,pDC,Batch1,0,0,7155
cell_21,pDC_P10_S94,pDC,Batch1,0,0,5737
cell_22,pDC_P10_S95,pDC,Batch1,0,0,5929
cell_23,pDC_P10_S96,pDC,Batch1,0,0,4329
cell_24,pDC_P7_S10,pDC,Batch1,0,0,6218
cell_25,pDC_P7_S11,pDC,Batch1,0,0,6132
cell_26,pDC_P7_S12,pDC,Batch1,0,0,7270
cell_27,pDC_P7_S13,pDC,Batch1,0,0,5404
cell_28,pDC_P7_S14,pDC,Batch1,0,0,6943
cell_29,pDC_P7_S15,pDC,Batch1,0,0,6806
cell_30,pDC_P7_S16,pDC,Batch1,0,0,6857
cell_31,pDC_P7_S17,pDC,Batch1,0,0,8014
cell_32,pDC_P7_S18,pDC,Batch1,0,0,5634
cell_33,pDC_P7_S19,pDC,Batch1,0,0,6410
cell_34,pDC_P7_S1,pDC,Batch1,0,0,5336
cell_35,pDC_P7_S20,pDC,Batch1,0,0,6544
